"Table","File","Line","Snippet"
"accounts","_compare_old_copy/orange - Copy/admin/api/accounts/delete-node.php","23","$st = $pdo->prepare('SELECT id, name, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/admin/api/accounts/delete-node.php","41","$pdo->prepare('DELETE FROM accounts WHERE id = ?')->execute([$id]);"
"accounts","_compare_old_copy/orange - Copy/admin/api/accounts/lookup-by-code.php","32","$sql = 'SELECT a.id, a.name, a.code FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting..."
"accounts","_compare_old_copy/orange - Copy/admin/api/accounts/save-node.php","41","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/admin/api/accounts/save-node.php","68","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/admin/api/accounts/save-node.php","102","$exSt = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/admin/api/accounts/save-node.php","113","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/admin/api/accounts/save-root-setup.php","40","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/admin/api/accounts/save-root-setup.php","72","$exSt = $pdo->prepare('SELECT id, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/admin/api/accounts/save-root-setup.php","87","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/admin/api/accounts/search-leaves.php","29","$sql = 'SELECT ' . $cols . ' FROM accounts a WHERE ' . orange_accounts_posting_leaf_where_sql($pdo, ..."
"accounts","_compare_old_copy/orange - Copy/admin/api/accounts/suggest-code.php","20","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/admin/api/journal/manage.php","64","$chk = $pdo->prepare('SELECT is_group FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/admin/api/journal/manage.php","125","$chk = $pdo->prepare('SELECT is_group FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/admin/api/settings/gl-accounts.php","21","'SELECT id, name, code FROM accounts ORDER BY COALESCE(code, \'\') ASC, name ASC'"
"accounts","_compare_old_copy/orange - Copy/admin/api/settings/gl-accounts.php","77","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/admin/pages/financial_report.php","28","$accounts = $pdo->query('SELECT id, name, code FROM accounts ORDER BY COALESCE(code, \'\'), name')->..."
"accounts","_compare_old_copy/orange - Copy/admin/pages/gl_account_settings.php","13","'SELECT id, name, code FROM accounts ORDER BY COALESCE(code, \'\'), name ASC'"
"accounts","_compare_old_copy/orange - Copy/admin/pages/journal_entries.php","21","$accounts = $pdo->query('SELECT ' . $accCols . ' FROM accounts ORDER BY COALESCE(code, \'\'), name')..."
"accounts","_compare_old_copy/orange - Copy/admin/pages/opening_balances.php","33","INNER JOIN accounts a ON a.id = jl.account_id"
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","31","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","109","$st = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","139","$st = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","190","$rows = $pdo->query('SELECT ' . $cols . ' FROM accounts ORDER BY COALESCE(code, \'\'), id')->fetchAl..."
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","237","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","264","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","312","$parts[] = ""NOT EXISTS (SELECT 1 FROM accounts ch WHERE ch.parent_id = {$alias}.id)"";"
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","346","$pq = $pdo->query('SELECT DISTINCT parent_id FROM accounts WHERE COALESCE(parent_id, 0) > 0');"
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","402","$sql = 'SELECT a.id, a.code FROM accounts a WHERE a.id IN (' . $ph . ') AND ' . orange_accounts_post..."
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","429","$sql = 'SELECT a.code FROM accounts a WHERE a.id = ? AND ' . orange_accounts_posting_leaf_where_sql(..."
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","455","""SELECT code FROM accounts WHERE (parent_id IS NULL OR parent_id = 0)"
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","469","$pst = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","480","'SELECT code FROM accounts WHERE parent_id = ? AND code IS NOT NULL AND code <> \'\''"
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","586","$ch = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE parent_id = ?');"
"accounts","_compare_old_copy/orange - Copy/includes/account_tree.php","645","$sql = 'SELECT ' . $cols . ' FROM accounts WHERE (parent_id IS NULL OR parent_id = 0)'"
"accounts","_compare_old_copy/orange - Copy/includes/catalog_schema.php","79","$cnt = (int) $pdo->query('SELECT COUNT(*) FROM accounts')->fetchColumn();"
"accounts","_compare_old_copy/orange - Copy/includes/catalog_schema.php","117","$cnt2 = (int) $pdo->query('SELECT COUNT(*) FROM accounts')->fetchColumn();"
"accounts","_compare_old_copy/orange - Copy/includes/gl_pending_movements.php","458","INNER JOIN accounts a ON a.id = jl.account_id"
"accounts","_compare_old_copy/orange - Copy/includes/gl_pending_movements.php","500","$st = $pdo->query('SELECT id, COALESCE(code, \'\') AS code, name FROM accounts WHERE id IN (' . $in ..."
"accounts","_compare_old_copy/orange - Copy/includes/gl_pending_movements.php","595","$chk = $pdo->prepare('SELECT COALESCE(code, \'\') AS code, name FROM accounts WHERE id = ? LIMIT 1')..."
"accounts","_compare_old_copy/orange - Copy/includes/gl_settings.php","235","'SELECT a.id FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting_leaf_where_sql($pdo, '..."
"accounts","_compare_old_copy/orange - Copy/includes/journal_voucher.php","191","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/includes/year_end_close.php","87","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_old_copy/orange - Copy/scripts/mysql-strong-integrity.sql","25","--   LEFT JOIN accounts a ON a.id = jl.account_id WHERE jl.account_id IS NOT NULL AND a.id IS NULL;"
"accounts","_compare_zip_old/orange - Copy/admin/api/accounts/delete-node.php","23","$st = $pdo->prepare('SELECT id, name, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_zip_old/orange - Copy/admin/api/accounts/delete-node.php","41","$pdo->prepare('DELETE FROM accounts WHERE id = ?')->execute([$id]);"
"accounts","_compare_zip_old/orange - Copy/admin/api/accounts/lookup-by-code.php","32","$sql = 'SELECT a.id, a.name, a.code FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting..."
"accounts","_compare_zip_old/orange - Copy/admin/api/accounts/save-node.php","41","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_zip_old/orange - Copy/admin/api/accounts/save-node.php","68","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"accounts","_compare_zip_old/orange - Copy/admin/api/accounts/save-node.php","102","$exSt = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"accounts","_compare_zip_old/orange - Copy/admin/api/accounts/save-node.php","113","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');"
"accounts","_compare_zip_old/orange - Copy/admin/api/accounts/save-root-setup.php","40","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"accounts","_compare_zip_old/orange - Copy/admin/api/accounts/save-root-setup.php","72","$exSt = $pdo->prepare('SELECT id, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
