"File","Table","Hits","JV","Acc","WorstRisk","Risks"
"_compare_old_copy/orange - Copy/admin/api/accounts/lookup-by-code.php","accounts","1","0",,"MED_REVIEW","MED_REVIEW:1"
"_compare_old_copy/orange - Copy/admin/api/accounts/save-node.php","accounts","4","0","4","MED_REVIEW","BY_ID:2, MED_REVIEW:2"
"_compare_old_copy/orange - Copy/admin/api/accounts/save-root-setup.php","accounts","3","0","3","MED_REVIEW","MED_REVIEW:2, BY_ID:1"
"_compare_old_copy/orange - Copy/admin/api/accounts/search-leaves.php","accounts","1","0",,"MED_REVIEW","MED_REVIEW:1"
"_compare_old_copy/orange - Copy/admin/api/settings/gl-accounts.php","accounts","2","0","2","MED_REVIEW","MED_REVIEW:1, BY_ID:1"
"_compare_old_copy/orange - Copy/admin/pages/financial_report.php","accounts","2",,,"MED_REVIEW","MED_REVIEW:2"
"_compare_old_copy/orange - Copy/admin/pages/gl_account_settings.php","accounts","1","0",,"MED_REVIEW","MED_REVIEW:1"
"_compare_old_copy/orange - Copy/admin/pages/journal_entries.php","accounts","2",,,"MED_REVIEW","MED_REVIEW:1, IMPLICIT_FY:1"
"_compare_old_copy/orange - Copy/admin/pages/partner_ledger.php","journal_vouchers","1",,"0","MED_REVIEW","MED_REVIEW:1"
"_compare_old_copy/orange - Copy/includes/account_tree.php","accounts","15","0","15","MED_REVIEW","BY_ID:7, MED_REVIEW:2, LOW_TREE:6"
"_compare_old_copy/orange - Copy/includes/gl_pending_movements.php","accounts","6","3","3","MED_REVIEW","IMPLICIT_ENTITY:1, MED_REVIEW:1, BY_ID:3, REF_KEY:1"
"_compare_old_copy/orange - Copy/includes/gl_settings.php","accounts","1","0",,"MED_REVIEW","MED_REVIEW:1"
"_compare_old_copy/orange - Copy/includes/journal_voucher.php","accounts","5","4",,"MED_REVIEW","BY_ID:3, REF_KEY:1, MED_REVIEW:1"
"_compare_old_copy/orange - Copy/includes/party_subledger.php","journal_vouchers","2","2","0","MED_REVIEW","MED_REVIEW:2"
"_compare_zip_old/orange - Copy/admin/api/accounts/lookup-by-code.php","accounts","1","0",,"MED_REVIEW","MED_REVIEW:1"
"_compare_zip_old/orange - Copy/admin/api/accounts/save-node.php","accounts","4","0","4","MED_REVIEW","BY_ID:2, MED_REVIEW:2"
