"File","Hits","JV","Acc","Risk","Note"
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","2",,,"MAINT","Dev maintenance script — not production path"
"scripts/migrations/010_remove_analytical_coa_root.sql","2","0","2","MAINT","Migration/maintenance script — intentional global"
"scripts/migrations/011_ensure_off_balance_coa_root.sql","1","0",,"MAINT","Migration/maintenance script — intentional global"
"scripts/mysql-strong-integrity.sql","1","0",,"MAINT","Integrity check script"
"admin/api/settings/gl-accounts.php","4","0","4","LOW","Legacy branch when no country_id column — pre-v52 only"
"admin/pages/partner_account_statement.php","5","4",,"LOW","Party statement JOIN — filtered by party_id; party rows are country-scoped; optional hardening: add jv.country_id bind"
"admin/pages/report_gl_account_monthly.php","4","2","2","LOW","Report JOIN by account_id from scoped orange_accounts_fetch list"
"admin/pages/report_pl_monthly.php","2",,,"LOW","Report JOIN by account_id from scoped orange_accounts_fetch list"
"includes/account_tree.php","16","0","16","LOW","Tree structure helper — parent/child IDs are country-specific rows in practice"
"includes/catalog_schema.php","2","0","2","LOW","Seed/migration COUNT — runs once at schema bootstrap"
"includes/gl_account_aging.php","2","2","0","LOW","Aging by account_id — account chosen from scoped list; optional jv.country_id bind"
"includes/gl_pending_movements.php","6","3","3","LOW","Dedup check by order reference"
"includes/journal_voucher.php","15","13","2","LOW","Reference key lookup (PUR-/OB-/SR- business unique); consider country guard if refs ever collide"
"includes/order_fulfillment.php","1",,"0","LOW","order_number reference LIKE — order numbers globally unique per shop"
"includes/party_subledger.php","2","2","0","LOW","Party statement JOIN — filtered by party_id; party rows are country-scoped; optional hardening: add jv.country_id bind"
"admin/api/accounts/delete-node.php","2","0","2","OK","Single-row lookup by primary key"
"admin/api/accounts/lookup-by-code.php","1","0",,"OK","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"admin/api/accounts/save-node.php","6","0","6","OK","Single-row lookup by primary key"
"admin/api/accounts/save-root-setup.php","5","0","5","OK","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"admin/api/accounts/search-leaves.php","4","0","4","OK","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"admin/api/accounts/suggest-code.php","1","0",,"OK","Single-row lookup by primary key"
"admin/api/journal/manage.php","20","17","3","OK","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"admin/api/opening_balances/delete.php","2","2","0","OK","Load voucher lines by PK after FY-scoped find"
"admin/api/opening_balances/save.php","2","2","0","OK","Load voucher lines by PK after FY-scoped find"
"admin/api/partners/customer-receipt-list.php","1",,"0","OK","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"admin/api/partners/customer-receipt-search.php","1",,"0","OK","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"admin/api/partners/supplier-payment-delete.php","2","2","0","OK","Single-row lookup by primary key"
"admin/api/partners/supplier-payment-list.php","1",,"0","OK","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"admin/api/partners/supplier-payment-load.php","1",,"0","OK","Single-row lookup by primary key"
"admin/api/partners/supplier-payment-search.php","1",,"0","OK","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"admin/api/suppliers/print-card.php","1","0",,"OK","Single-row lookup by primary key"
"admin/pages/accounting_reports_index.php","1","0",,"OK","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"admin/pages/financial_report.php","3",,"2","OK","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"admin/pages/fiscal_years.php","1","0",,"OK","Single-row lookup by primary key"
"admin/pages/gl_account_settings.php","1","0",,"OK","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"admin/pages/gl_posting.php","1","0",,"OK","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"admin/pages/journal_voucher_reports.php","3","2",,"OK","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"admin/pages/journal_voucher_screen.php","1","0",,"OK","Single-row lookup by primary key"
"admin/pages/opening_balances.php","3","2",,"OK","Display join on known voucher_id"
"admin/pages/partner_party_voucher_ui.php","5","0","5","OK","Validate leaf accounts in mapped set"
"admin/pages/partner_reports.php","1","0",,"OK","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"admin/pages/partner_supplier_payment.php","3","0","3","OK","Validate leaf accounts in mapped set"
"admin/pages/purchase_returns.php","3","0","3","OK","GAP-09 scoped preview / account filter"
"admin/pages/purchases.php","3","0","3","OK","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"admin/pages/report_pl_compare_years.php","1","0",,"OK","Scoped account list for report"
"admin/pages/report_trial_balance.php","1","0",,"OK","Scoped account list for report"
"admin/pages/suppliers.php","3","0","3","OK","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"includes/accounting_report_mapping.php","1","0",,"OK","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"includes/countries.php","3","0","3","OK","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"includes/country_provision.php","3","0","3","OK","Explicit WHERE country_id = ? for country copy"
"includes/financial_report_breakdown.php","5","4",,"OK","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"includes/fiscal_years.php","1",,"0","OK","Activity check by fiscal_year_id (FY row is per-country)"
"includes/gl_settings.php","1","0",,"OK","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"includes/year_end_close.php","4","3",,"OK","YEC refs include fiscalYearId; totals via scoped orange_voucher_account_totals"
