"File","Hits","JV","Acc","WorstRisk","Note"
"admin/api/accounts/delete-node.php","2","0","2","OK",""
"admin/api/accounts/lookup-by-code.php","1","0","1","OK",""
"admin/api/accounts/save-node.php","6","0","6","OK",""
"admin/api/accounts/save-root-setup.php","5","0","5","OK",""
"admin/api/accounts/search-leaves.php","4","0","4","OK",""
"admin/api/accounts/suggest-code.php","1","0","1","OK",""
"admin/api/journal/manage.php","20","17","3","OK",""
"admin/api/opening_balances/delete.php","2","2","0","OK",""
"admin/api/opening_balances/save.php","2","2","0","OK",""
"admin/api/partners/customer-receipt-list.php","1","1","0","OK",""
"admin/api/partners/customer-receipt-search.php","1","1","0","OK",""
"admin/api/partners/supplier-payment-delete.php","2","2","0","OK",""
"admin/api/partners/supplier-payment-list.php","1","1","0","OK",""
"admin/api/partners/supplier-payment-load.php","1","1","0","OK",""
"admin/api/partners/supplier-payment-search.php","1","1","0","OK",""
"admin/api/settings/gl-accounts.php","4","0","4","OK",""
"admin/api/suppliers/print-card.php","1","0","1","OK",""
"admin/pages/accounting_reports_index.php","1","0","1","OK",""
"admin/pages/financial_report.php","3","1","2","OK",""
"admin/pages/fiscal_years.php","1","0","1","OK",""
"admin/pages/gl_account_settings.php","1","0","1","OK",""
"admin/pages/gl_posting.php","1","0","1","OK",""
"admin/pages/journal_voucher_reports.php","3","2","1","OK",""
"admin/pages/journal_voucher_screen.php","1","0","1","OK",""
"admin/pages/opening_balances.php","3","2","1","OK",""
"admin/pages/partner_account_statement.php","5","4","1","OK",""
"admin/pages/partner_party_voucher_ui.php","5","0","5","OK",""
"admin/pages/partner_reports.php","1","0","1","OK",""
"admin/pages/partner_supplier_payment.php","3","0","3","OK",""
"admin/pages/purchase_returns.php","3","0","3","OK",""
"admin/pages/purchases.php","3","0","3","OK",""
"admin/pages/report_gl_account_monthly.php","4","2","2","OK",""
"admin/pages/report_pl_compare_years.php","1","0","1","OK",""
"admin/pages/report_pl_monthly.php","2","1","1","OK",""
"admin/pages/report_trial_balance.php","1","0","1","OK",""
"admin/pages/suppliers.php","3","0","3","OK",""
"includes/account_tree.php","16","0","16","OK",""
"includes/accounting_report_mapping.php","1","0","1","OK",""
"includes/catalog_schema.php","4","0","4","OK",""
"includes/countries.php","3","0","3","OK",""
"includes/country_provision.php","3","0","3","OK",""
"includes/financial_report_breakdown.php","5","4","1","OK",""
"includes/fiscal_years.php","1","1","0","OK",""
"includes/gl_account_aging.php","2","2","0","OK",""
"includes/gl_pending_movements.php","5","2","3","OK",""
"includes/gl_settings.php","1","0","1","OK",""
"includes/journal_voucher.php","16","14","2","OK",""
"includes/party_subledger.php","2","2","0","OK",""
"includes/year_end_close.php","4","3","1","OK",""
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","11","5","6","OK",""
"scripts/migrations/010_remove_analytical_coa_root.sql","2","0","2","OK",""
"scripts/migrations/011_ensure_off_balance_coa_root.sql","2","0","2","OK",""
"scripts/mysql-strong-integrity.sql","4","1","3","OK",""
