"Risk","Table","File","Line","Snippet","Note"
"OK","accounts","admin/api/accounts/delete-node.php","24","$st = $pdo->prepare('SELECT id, name, code, parent_id FROM accounts WHERE id = ? LIMIT 1');","Single-row lookup by primary key"
"OK","accounts","admin/api/accounts/delete-node.php","47","$pdo->prepare('DELETE FROM accounts WHERE id = ?')->execute([$id]);","Single-row lookup by primary key"
"OK","accounts","admin/api/accounts/lookup-by-code.php","34","$sql = 'SELECT a.id, a.name, a.code FROM accounts a WHERE a.code = ? AND ' . orange_accounts_po...","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"OK","accounts","admin/api/accounts/save-node.php","64","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');","Single-row lookup by primary key"
"OK","accounts","admin/api/accounts/save-node.php","101","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? LIMIT 1');","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"OK","accounts","admin/api/accounts/save-node.php","104","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"OK","accounts","admin/api/accounts/save-node.php","155","$exSt = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');","Single-row lookup by primary key"
"OK","accounts","admin/api/accounts/save-node.php","176","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? AND id <> ? LIM...","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"OK","accounts","admin/api/accounts/save-node.php","179","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"OK","accounts","admin/api/accounts/save-root-setup.php","44","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? LIMIT 1');","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"OK","accounts","admin/api/accounts/save-root-setup.php","47","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"OK","accounts","admin/api/accounts/save-root-setup.php","84","$exSt = $pdo->prepare('SELECT id, code, parent_id FROM accounts WHERE id = ? LIMIT 1');","Single-row lookup by primary key"
"OK","accounts","admin/api/accounts/save-root-setup.php","109","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? AND id <> ? LIM...","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"OK","accounts","admin/api/accounts/save-root-setup.php","112","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"OK","accounts","admin/api/accounts/search-leaves.php","33","$conditions[] = 'EXISTS (SELECT 1 FROM accounts ch WHERE ch.parent_id = a.id)';","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"OK","accounts","admin/api/accounts/search-leaves.php","39","$sql = 'SELECT a.id, a.code, a.name FROM accounts a WHERE ' . $where;","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"OK","accounts","admin/api/accounts/search-leaves.php","80","$sql = 'SELECT ' . $cols . ' FROM accounts a WHERE 1=1';","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"OK","accounts","admin/api/accounts/search-leaves.php","131","$sql = 'SELECT ' . $cols . ' FROM accounts a WHERE ' . $leafWhere;","Scoped in same file (country filter / fetch wrapper / PK dup check)"
"OK","accounts","admin/api/accounts/suggest-code.php","21","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');","Single-row lookup by primary key"
"OK","accounts","admin/api/journal/manage.php","163","$chk = $pdo->prepare('SELECT is_group FROM accounts WHERE id = ? LIMIT 1');","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"OK","accounts","admin/api/journal/manage.php","321","$chk = $pdo->prepare('SELECT is_group FROM accounts WHERE id = ? LIMIT 1');","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"OK","journal_vouchers","admin/api/journal/manage.php","395","$st = $pdo->prepare('SELECT * FROM journal_vouchers WHERE id = ? LIMIT 1');","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"OK","accounts","admin/api/journal/manage.php","430","INNER JOIN accounts a ON a.id = jl.account_id","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"OK","journal_vouchers","admin/api/journal/manage.php","526","'SELECT id, fiscal_year_id, voucher_serial, journal_serial_bucket, entry_type FROM journal_vouc...","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"OK","journal_vouchers","admin/api/journal/manage.php","543","'SELECT COUNT(*) FROM journal_vouchers jv WHERE ' . $etFragJv . ' AND jv.fiscal_year_id = ? AND...","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"OK","journal_vouchers","admin/api/journal/manage.php","552","'SELECT jv.id FROM journal_vouchers jv WHERE ' . $etFragJv","File uses orange_gl_voucher_country_bind or equivalent in same action block"
"OK","journal_vouchers","admin/api/journal/manage.php","559","'SELECT jv.id FROM journal_vouchers jv WHERE ' . $etFragJv","File uses orange_gl_voucher_country_bind or equivalent in same action block"
