"file","line","table","risk","snippet"
"admin/api/accounts/delete-node.php","24","accounts","OK","$st = $pdo->prepare('SELECT id, name, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
"admin/api/accounts/delete-node.php","47","accounts","OK","$pdo->prepare('DELETE FROM accounts WHERE id = ?')->execute([$id]);"
"admin/api/accounts/lookup-by-code.php","34","accounts","OK","$sql = 'SELECT a.id, a.name, a.code FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting_leaf_where_sql($pdo, 'a');"
"admin/api/accounts/save-node.php","64","accounts","OK","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"admin/api/accounts/save-node.php","101","accounts","OK","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? LIMIT 1');"
"admin/api/accounts/save-node.php","104","accounts","OK","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"admin/api/accounts/save-node.php","155","accounts","OK","$exSt = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"admin/api/accounts/save-node.php","176","accounts","OK","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? AND id <> ? LIMIT 1');"
"admin/api/accounts/save-node.php","179","accounts","OK","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');"
"admin/api/accounts/save-root-setup.php","44","accounts","OK","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? LIMIT 1');"
"admin/api/accounts/save-root-setup.php","47","accounts","OK","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"admin/api/accounts/save-root-setup.php","84","accounts","OK","$exSt = $pdo->prepare('SELECT id, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
"admin/api/accounts/save-root-setup.php","109","accounts","OK","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? AND id <> ? LIMIT 1');"
"admin/api/accounts/save-root-setup.php","112","accounts","OK","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');"
"admin/api/accounts/search-leaves.php","33","accounts","OK","$conditions[] = 'EXISTS (SELECT 1 FROM accounts ch WHERE ch.parent_id = a.id)';"
"admin/api/accounts/search-leaves.php","39","accounts","OK","$sql = 'SELECT a.id, a.code, a.name FROM accounts a WHERE ' . $where;"
"admin/api/accounts/search-leaves.php","80","accounts","OK","$sql = 'SELECT ' . $cols . ' FROM accounts a WHERE 1=1';"
"admin/api/accounts/search-leaves.php","131","accounts","OK","$sql = 'SELECT ' . $cols . ' FROM accounts a WHERE ' . $leafWhere;"
