"Table","File","Line","Risk","Note","Snippet"
"accounts","admin/api/accounts/delete-node.php","24","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT id, name, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/accounts/delete-node.php","47","OK","BY PK or fiscal_year (per-country FY)","$pdo->prepare('DELETE FROM accounts WHERE id = ?')->execute([$id]);"
"accounts","admin/api/accounts/lookup-by-code.php","34","LOW","Review — entity-scoped or legacy path","$sql = 'SELECT a.id, a.name, a.code FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting_leaf_where_sql($pdo, 'a');"
"accounts","admin/api/accounts/save-node.php","64","OK","BY PK or fiscal_year (per-country FY)","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/accounts/save-node.php","101","OK","Explicit country filter or wrapper","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? LIMIT 1');"
"accounts","admin/api/accounts/save-node.php","104","LOW","Review — entity-scoped or legacy path","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"accounts","admin/api/accounts/save-node.php","155","OK","BY PK or fiscal_year (per-country FY)","$exSt = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/accounts/save-node.php","176","OK","Explicit country filter or wrapper","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? AND id <> ? LIMIT 1');"
"accounts","admin/api/accounts/save-node.php","179","LOW","Review — entity-scoped or legacy path","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');"
"accounts","admin/api/accounts/save-root-setup.php","44","OK","Explicit country filter or wrapper","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? LIMIT 1');"
"accounts","admin/api/accounts/save-root-setup.php","47","LOW","Review — entity-scoped or legacy path","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"accounts","admin/api/accounts/save-root-setup.php","84","OK","BY PK or fiscal_year (per-country FY)","$exSt = $pdo->prepare('SELECT id, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
