"Section","Key","Area","Scope","PolicyRef","Status","Notes"
"AdminScreen","dashboard","Main","country","v52","OK"," | router:yes"
"AdminScreen","stock","Warehouse","country","admin-screens","OK"," | router:yes"
"AdminScreen","opening_stock_balances","Warehouse","country","admin-screens","OK"," | router:yes"
"AdminScreen","item_card","Warehouse","country","admin-screens","OK"," | router:yes"
"AdminScreen","suppliers","Purchasing","country","admin-screens","OK"," | router:yes"
"AdminScreen","purchases","Purchasing","country","GAP-04","OK","GL country_id on posting | router:yes"
"AdminScreen","purchase_returns","Purchasing","country","GAP-04","OK"," | router:yes"
"AdminScreen","departments","Catalog","global+per-country active","v52-S9","OK","department_countries | router:yes"
"AdminScreen","unified_catalog_branches","Catalog","global","5tax","OK","Unified taxonomy ERD | router:yes"
"AdminScreen","product_types","Catalog","global","5tax","OK"," | router:yes"
"AdminScreen","catalog_attributes","Catalog","global","5tax","OK"," | router:yes"
"AdminScreen","color_dictionary","Catalog","global","admin-screens","OK"," | router:yes"
"AdminScreen","pattern_dictionary","Catalog","global","admin-screens","OK"," | router:yes"
"AdminScreen","size_scheme_templates","Catalog","global","admin-screens","OK"," | router:yes"
"AdminScreen","sizing_dictionary","Catalog","global","admin-screens","OK"," | router:yes"
"AdminScreen","size_families","Catalog","global","admin-screens","OK"," | router:yes"
"AdminScreen","advisory_sizing_guides","Catalog","global","admin-screens","OK"," | router:yes"
"AdminScreen","products","Products","country","admin-screens","OK"," | router:yes"
"AdminScreen","customers","Sales","country","S15/zero","OK","Phone country select | router:yes"
"AdminScreen","orders","Sales","country","S16-17","OK"," | router:yes"
"AdminScreen","company_sales_invoice","Sales","country","GAP-SALE-DOC-01","OK","INV-C doc v2 sv2 | router:yes"
"AdminScreen","online_sales_invoice","Sales","country","GAP-SALE-DOC-01","OK","INV-O doc v2 ov2 | router:yes"
"AdminScreen","reserved_orders","Sales","country","S23/S28","OK","Stock reservations | router:yes"
"AdminScreen","order_intake_queue","Sales","country","S1","OK"," | router:yes"
"AdminScreen","invoice","Sales","country","v52-S3","OK","company_settings per country | router:yes"
"AdminScreen","manual_order","Sales","country","GAP-SALE-DOC-01","OK","Legacy redirect to company_sales_invoice | router:yes"
"AdminScreen","sales_invoices","Sales","country","GAP-SALE-DOC-01","OK","Legacy browse redirect to company_sales_invoice | router:yes"
"AdminScreen","online_invoices","Sales","country","GAP-SALE-DOC-01","OK","Legacy redirect to online_sales_invoice | router:yes"
