"Section","Page","Area","CountryScope","PolicyRef","Status","InRouter","FilePath","Notes"
"AdminScreen","dashboard","Main","country","v52","OK","yes","admin/pages/dashboard.php",""
"AdminScreen","stock","Warehouse","country","admin-screens","OK","yes","admin/pages/stock.php",""
"AdminScreen","opening_stock_balances","Warehouse","country","admin-screens","OK","yes","admin/pages/opening_stock_balances.php",""
"AdminScreen","item_card","Warehouse","country","admin-screens","OK","yes","admin/pages/item_card.php",""
"AdminScreen","suppliers","Purchasing","country","admin-screens","OK","yes","admin/pages/suppliers.php",""
"AdminScreen","purchases","Purchasing","country","GAP-04","OK","yes","admin/pages/purchases.php","GL country_id on posting"
"AdminScreen","purchase_returns","Purchasing","country","GAP-04","OK","yes","admin/pages/purchase_returns.php",""
"AdminScreen","departments","Catalog","global+per-country active","v52-S9","OK","yes","admin/pages/departments.php","department_countries"
"AdminScreen","unified_catalog_branches","Catalog","global","5tax","OK","yes","admin/pages/unified_catalog_branches.php","Unified taxonomy ERD"
"AdminScreen","product_types","Catalog","global","5tax","OK","yes","admin/pages/product_types.php",""
"AdminScreen","catalog_attributes","Catalog","global","5tax","OK","yes","admin/pages/catalog_attributes.php",""
"AdminScreen","color_dictionary","Catalog","global","admin-screens","OK","yes","admin/pages/color_dictionary.php",""
"AdminScreen","pattern_dictionary","Catalog","global","admin-screens","OK","yes","admin/pages/pattern_dictionary.php",""
"AdminScreen","size_scheme_templates","Catalog","global","admin-screens","OK","yes","admin/pages/size_scheme_templates.php",""
"AdminScreen","sizing_dictionary","Catalog","global","admin-screens","OK","yes","admin/pages/sizing_dictionary.php",""
"AdminScreen","size_families","Catalog","global","admin-screens","OK","yes","admin/pages/size_families.php",""
"AdminScreen","advisory_sizing_guides","Catalog","global","admin-screens","OK","yes","admin/pages/advisory_sizing_guides.php",""
"AdminScreen","products","Products","country","admin-screens","OK","yes","admin/pages/products.php",""
"AdminScreen","customers","Sales","country","S15/zero","OK","yes","admin/pages/customers.php","Phone country select"
"AdminScreen","orders","Sales","country","S16-17","OK","yes","admin/pages/orders.php",""
"AdminScreen","company_sales_invoice","Sales","country","GAP-SALE-DOC-01","OK","yes","admin/pages/company_sales_invoice.php","INV-C doc v2 sv2"
"AdminScreen","online_sales_invoice","Sales","country","GAP-SALE-DOC-01","OK","yes","admin/pages/online_sales_invoice.php","INV-O doc v2 ov2"
"AdminScreen","reserved_orders","Sales","country","S23/S28","OK","yes","admin/pages/reserved_orders.php","Stock reservations"
"AdminScreen","order_intake_queue","Sales","country","S1","OK","yes","admin/pages/order_intake_queue.php",""
"AdminScreen","invoice","Sales","country","v52-S3","OK","yes","admin/pages/invoice.php","company_settings per country"
