"Section","PolicyId","Topic","Status","ArchiveImpl","Notes"
"StorefrontPolicy","zero","Phone country code","OK","yes",""
"StorefrontPolicy","S1","Cart+WhatsApp sale path","OK","yes",""
"StorefrontPolicy","S2","Guest vs registered","OK","yes",""
"StorefrontPolicy","S3","Price + hero/header copy","OK","yes",""
"StorefrontPolicy","S4","Promos BOGO/combo/gift","OK","yes",""
"StorefrontPolicy","S5","Out of stock UX","OK","yes",""
"StorefrontPolicy","S6","Channels vs stock","PARTIAL","yes","Stock per-country (vision 13) not all paths"
"StorefrontPolicy","S7","Register teaser in cart","OK","yes",""
"StorefrontPolicy","S8","Register fields + areas","OK","yes",""
"StorefrontPolicy","S9","Email verification","OK","yes",""
"StorefrontPolicy","S10","Channel on register","OK","yes",""
"StorefrontPolicy","S11","Email per country","OK","yes",""
"StorefrontPolicy","S12","Who can track","OK","yes",""
"StorefrontPolicy","S13","Track detail level","OK","yes",""
"StorefrontPolicy","S14","Customer cancel","OK","yes",""
"StorefrontPolicy","S15","Phone merge","OK","yes",""
"StorefrontPolicy","S16","Order created when","OK","yes",""
"StorefrontPolicy","S17","Instant order number","OK","yes",""
"StorefrontPolicy","S18","Order phone","OK","yes",""
"StorefrontPolicy","S19","Guest email","OK","yes",""
"StorefrontPolicy","S20","Address/area","OK","yes",""
"StorefrontPolicy","S21","WhatsApp confirmation","OK","yes",""
"StorefrontPolicy","S22","Amend order","OK","yes",""
"StorefrontPolicy","S23","Stock deduct timing","OK","yes",""
"StorefrontPolicy","S24","Insufficient after order","OK","yes",""
"StorefrontPolicy","S25","Default channel","OK","yes","PERF: do not break"
"StorefrontPolicy","S26","Channel switch","OK","yes","PERF: cookie path"
"StorefrontPolicy","S27","Track share security","OK","yes",""
"StorefrontPolicy","S28","Reservation retention","OK","yes",""
"StorefrontPolicy","S29","No auto GL on online order","OK","yes","Fulfillment posts later"
"StorefrontPolicy","S30","Partial cart submit","OK","yes",""
"StorefrontPolicy","S31","Geo root /","OK","yes",""
