"Section","Item","Role","PolicyRef","Status","Notes"
"StorefrontPage","home.php","Home+channel","S3/S25-26/S31","OK",""
"StorefrontPage","product.php","Product","S6","OK",""
"StorefrontPage","cart.php","Cart+checkout","S1-4/S7/S18-22/S30","OK",""
"StorefrontPage","register.php","Register","S8-11/S15/zero","OK",""
"StorefrontPage","verify-email.php","Email verify","S9","OK",""
"StorefrontPage","track.php","Track order","S12-14/S27","OK",""
"StorefrontPage","region-unavailable.php","Geo block","S31","OK",""
"StorefrontAPI","api/orders/create-order.php","Create order","S1/S16-18/S23","OK",""
"StorefrontAPI","api/orders/get-order.php","Track POST","S12/S27","OK",""
"StorefrontAPI","api/orders/cancel-by-customer.php","Cancel","S14","OK",""
"StorefrontAPI","api/orders/amend-order-items.php","Amend items","S22","OK",""
"StorefrontAPI","api/orders/list-storefront-orders.php","Account orders","S13","OK",""
"StorefrontAPI","api/orders/list-guest-storefront-orders.php","Guest orders","S13","OK",""
"StorefrontAPI","api/orders/intake-status.php","Intake status","S1","OK",""
"StorefrontAPI","api/orders/email-track-order-summary.php","Track email","S13","OK",""
"StorefrontAPI","api/auth/request-email-verify.php","Email verify API","S9-11/S15","OK",""
"StorefrontAPI","api/auth/apply-phone-merge.php","Phone merge","S15/GAP-07","OK",""
"StorefrontAPI","api/cart/checkout-preview.php","Checkout preview","S4/S7","OK",""
"StorefrontAPI","api/cart/stock-limits.php","Stock limits","S5/S23","OK",""
"StorefrontAPI","api/products/get-products.php","Product list","S6/v52-S9","OK",""
"StorefrontAPI","api/products/get-product.php","Product one","S6","OK",""
"StorefrontAPI","api/products/get-categories.php","Categories","5tax","OK",""
"StorefrontAPI","api/products/get-attribute-facets.php","Facets","v52-S9","OK",""
"StorefrontAPI","api/products/variant-labels.php","Variant labels","admin-screens","OK",""
"StorefrontEntry","index.php","Geo entry","S31","OK","storefront_entry.php"
"StorefrontEntry","includes/storefront_geo.php","CF-IPCountry","S31","OK",""
